timestamp,topic,valor
2025-11-17 09:42:18,lan/broadcast/all,START
2025-11-17 09:42:19,lan/sala2/sensor/temp,26.37
2025-11-17 09:42:19,lan/sala1/sensor/temp,25.15
2025-11-17 09:42:20,lan/sala1/sensor/hum,26.9
2025-11-17 09:42:21,lan/sala1/sensor/temp,26.84
2025-11-17 09:42:21,lan/sala2/sensor/temp,24.1
2025-11-17 09:42:22,lan/sala1/sensor/hum,25.29
2025-11-17 09:42:23,lan/sala1/sensor/temp,23.1
2025-11-17 09:42:23,lan/sala2/sensor/temp,18.17
2025-11-17 09:42:24,lan/sala1/sensor/hum,28.42
2025-11-17 09:42:25,lan/sala1/sensor/temp,23.09
2025-11-17 09:42:25,lan/sala2/sensor/temp,23.87
2025-11-17 09:42:26,lan/sala1/sensor/hum,22.72
2025-11-17 09:42:27,lan/sala1/sensor/temp,26.52
2025-11-17 09:42:27,lan/sala2/sensor/temp,23.13
2025-11-17 09:42:28,lan/sala1/sensor/hum,20.61
2025-11-17 09:42:29,lan/sala1/sensor/temp,27.61
2025-11-17 09:42:29,lan/sala2/sensor/temp,21.44
2025-11-17 09:42:30,lan/sala1/sensor/hum,29.88
2025-11-17 09:42:31,lan/sala1/sensor/temp,28.68
2025-11-17 09:42:31,lan/sala2/sensor/temp,25.93
2025-11-17 09:42:32,lan/sala1/sensor/hum,21.42
2025-11-17 09:42:33,lan/sala1/sensor/temp,24.65
2025-11-17 09:42:33,lan/sala2/sensor/temp,18.44
2025-11-17 09:42:34,lan/sala1/sensor/hum,19.52
2025-11-17 09:42:35,lan/sala1/sensor/temp,27.15
2025-11-17 09:42:35,lan/sala2/sensor/temp,26.95
2025-11-17 09:42:36,lan/sala1/sensor/hum,18.44
2025-11-17 09:42:37,lan/sala1/sensor/temp,27.91
2025-11-17 09:42:37,lan/sala2/sensor/temp,26.35
2025-11-17 09:42:38,lan/sala1/sensor/hum,19.0
2025-11-17 09:42:39,lan/sala1/sensor/temp,20.76
2025-11-17 09:42:39,lan/sala2/sensor/temp,26.11
2025-11-17 09:42:40,lan/sala1/sensor/hum,22.85
2025-11-17 09:42:41,lan/sala1/sensor/temp,28.99
2025-11-17 09:42:41,lan/sala2/sensor/temp,28.87
2025-11-17 09:42:42,lan/sala1/sensor/hum,21.94
2025-11-17 09:42:43,lan/sala1/sensor/temp,20.88
2025-11-17 09:42:43,lan/sala2/sensor/temp,27.3
2025-11-17 09:42:44,lan/sala1/sensor/hum,19.81
2025-11-17 09:42:45,lan/sala1/sensor/temp,18.88
2025-11-17 09:42:45,lan/sala2/sensor/temp,20.71
2025-11-17 09:42:46,lan/sala1/sensor/hum,21.45
2025-11-17 09:42:47,lan/sala1/sensor/temp,28.33
2025-11-17 09:42:47,lan/sala2/sensor/temp,29.2
2025-11-17 09:42:48,lan/sala1/sensor/hum,26.47
2025-11-17 09:42:49,lan/sala1/sensor/temp,19.65
2025-11-17 09:42:49,lan/sala2/sensor/temp,29.62
2025-11-17 09:42:50,lan/sala1/sensor/hum,26.28
2025-11-17 09:42:51,lan/sala1/sensor/temp,24.27
2025-11-17 09:42:51,lan/sala2/sensor/temp,22.8
2025-11-17 09:42:52,lan/sala1/sensor/hum,29.08
2025-11-17 09:42:53,lan/sala1/sensor/temp,25.84
2025-11-17 09:42:53,lan/sala2/sensor/temp,24.7
2025-11-17 09:42:54,lan/sala1/sensor/hum,28.09
2025-11-17 09:42:55,lan/sala1/sensor/temp,25.46
2025-11-17 09:42:55,lan/sala2/sensor/temp,23.46
2025-11-17 09:42:56,lan/sala1/sensor/hum,28.28
2025-11-17 09:42:57,lan/sala1/sensor/temp,26.68
2025-11-17 09:42:57,lan/sala2/sensor/temp,20.41
2025-11-17 09:42:58,lan/sala1/sensor/hum,24.32
2025-11-17 09:42:59,lan/sala1/sensor/temp,20.13
2025-11-17 09:42:59,lan/sala2/sensor/temp,23.91
2025-11-17 09:43:00,lan/sala1/sensor/hum,24.98
2025-11-17 09:43:01,lan/sala1/sensor/temp,26.38
2025-11-17 09:43:01,lan/sala2/sensor/temp,26.19
2025-11-17 09:43:02,lan/sala1/sensor/hum,23.16
2025-11-17 09:43:03,lan/sala1/sensor/temp,26.04
2025-11-17 09:43:03,lan/sala2/sensor/temp,18.14
2025-11-17 09:43:04,lan/sala1/sensor/hum,22.85
2025-11-17 09:43:05,lan/sala1/sensor/temp,29.64
2025-11-17 09:43:05,lan/sala2/sensor/temp,19.77
2025-11-17 09:43:06,lan/sala1/sensor/hum,29.23
2025-11-17 09:43:07,lan/sala1/sensor/temp,18.77
2025-11-17 09:43:07,lan/sala2/sensor/temp,25.93
2025-11-17 09:43:08,lan/sala1/sensor/hum,24.16
2025-11-17 09:43:09,lan/sala1/sensor/temp,28.85
2025-11-17 09:43:09,lan/sala2/sensor/temp,25.9
2025-11-17 09:43:10,lan/sala1/sensor/hum,27.11
2025-11-17 09:43:11,lan/sala1/sensor/temp,20.73
2025-11-17 09:43:11,lan/sala2/sensor/temp,24.03
2025-11-17 09:43:12,lan/sala1/sensor/hum,19.48
2025-11-17 09:43:13,lan/sala1/sensor/temp,24.7
2025-11-17 09:43:13,lan/sala2/sensor/temp,19.85
2025-11-17 09:43:14,lan/sala1/sensor/hum,24.45
2025-11-17 09:43:15,lan/sala1/sensor/temp,28.28
2025-11-17 09:43:15,lan/sala2/sensor/temp,27.46
2025-11-17 09:43:16,lan/sala1/sensor/hum,20.38
2025-11-17 09:43:17,lan/sala1/sensor/temp,28.49
2025-11-17 09:43:17,lan/sala2/sensor/temp,29.7
2025-11-17 09:43:18,lan/sala1/sensor/hum,20.94
2025-11-17 09:43:19,lan/sala1/sensor/temp,28.36
2025-11-17 09:43:19,lan/sala2/sensor/temp,28.17
2025-11-17 09:43:20,lan/sala1/sensor/hum,27.19
2025-11-17 09:43:21,lan/sala1/sensor/temp,23.84
2025-11-17 09:43:21,lan/sala2/sensor/temp,28.14
2025-11-17 09:43:22,lan/sala1/sensor/hum,27.47
2025-11-17 09:43:23,lan/sala1/sensor/temp,21.87
2025-11-17 09:43:23,lan/sala2/sensor/temp,21.35
2025-11-17 09:43:24,lan/sala1/sensor/hum,27.21
2025-11-17 09:43:25,lan/sala1/sensor/temp,21.21
2025-11-17 09:43:25,lan/sala2/sensor/temp,25.84
2025-11-17 09:43:26,lan/sala1/sensor/hum,25.11
2025-11-17 09:43:27,lan/sala1/sensor/temp,27.57
2025-11-17 09:43:27,lan/sala2/sensor/temp,27.89
2025-11-17 09:43:28,lan/sala1/sensor/hum,23.13
2025-11-17 09:43:29,lan/sala1/sensor/temp,26.78
2025-11-17 09:43:29,lan/sala2/sensor/temp,24.6
2025-11-17 09:43:30,lan/sala1/sensor/hum,27.06
2025-11-17 09:43:31,lan/sala1/sensor/temp,24.7
2025-11-17 09:43:31,lan/sala2/sensor/temp,26.78
2025-11-17 09:43:32,lan/sala1/sensor/hum,18.6
2025-11-17 09:43:33,lan/sala1/sensor/temp,27.6
2025-11-17 09:43:33,lan/sala2/sensor/temp,21.28
2025-11-17 09:43:34,lan/sala1/sensor/hum,29.34
2025-11-17 09:43:35,lan/sala1/sensor/temp,28.99
2025-11-17 09:43:35,lan/sala2/sensor/temp,19.2
2025-11-17 09:43:36,lan/sala1/sensor/hum,29.1
2025-11-17 09:43:37,lan/sala1/sensor/temp,22.4
2025-11-17 09:43:37,lan/sala2/sensor/temp,28.55
2025-11-17 09:43:38,lan/sala1/sensor/hum,24.96
2025-11-17 09:43:39,lan/sala1/sensor/temp,22.59
2025-11-17 09:43:39,lan/sala2/sensor/temp,23.41
2025-11-17 09:43:40,lan/sala1/sensor/hum,25.23
2025-11-17 09:43:41,lan/sala1/sensor/temp,18.14
2025-11-17 09:43:41,lan/sala2/sensor/temp,20.42
2025-11-17 09:43:42,lan/sala1/sensor/hum,24.83
2025-11-17 09:43:43,lan/sala1/sensor/temp,28.16
2025-11-17 09:43:43,lan/sala2/sensor/temp,19.73
2025-11-17 09:43:44,lan/sala1/sensor/hum,23.36
2025-11-17 09:43:45,lan/sala1/sensor/temp,26.72
2025-11-17 09:43:45,lan/sala2/sensor/temp,25.76
2025-11-17 09:43:46,lan/sala1/sensor/hum,22.39
2025-11-17 09:43:47,lan/sala1/sensor/temp,19.79
2025-11-17 09:43:47,lan/sala2/sensor/temp,28.37
2025-11-17 09:43:48,lan/sala1/sensor/hum,23.04
2025-11-17 09:43:49,lan/sala1/sensor/temp,21.87
2025-11-17 09:43:49,lan/sala2/sensor/temp,26.33
2025-11-17 09:43:50,lan/sala1/sensor/hum,18.03
2025-11-17 09:43:51,lan/sala1/sensor/temp,27.51
2025-11-17 09:43:51,lan/sala2/sensor/temp,21.35
2025-11-17 09:43:52,lan/sala1/sensor/hum,23.87
